user_id,item_id,rating,rented for,review_text,category,height,size,age,review_date
215399,1517307,8,work,fabric is nice and thick and so it is a flattering piece for workthe neckline is too bunched up and awkward to make it a knockout thoughloved the colora nice sort of oxblood ,sheath,"5' 8""",8,31.0,May 10 2021
236834,670722,10,formal affair,this dress is beautiful elegantromantic wa touch of sexy i highly recommend it i wore the mr wheels that wereinchesi am tall so the dress came off the ground about an inch more that i would have liked other than that it was the perfect dress for a perfect evening ,gown,"5' 8""",14,38.0,Mar 14 2022
134802,1117289,10,work,loved this dressgorgeous color and so fashionable runs a little large so i would go down a size next time but i would definitely rent it again ,dress,"5' 8""",4,40.0,Jul 30 2022
185966,1077123,8,party,the dress arrived with a small hole in the beading on the front but wasnt too noticeable glad i was able to get two sizes because thewas a little tight and wouldve made for an uncomfortable night of dancing ,dress,"5' 3""",12,33.0,Jan 02 2023
281878,1920477,10,wedding,the dress does run small as do other ml dresses but was a great fit once i was in the correct size it was a great dress if you plan on dancing because there is a lot of freedom to move in it the color is more green in person and was gorgeous i would also worn complicated necklaces tended to get caught on the lace so keep it simple up top with the accessories i received great feedback and felt wonderful in the dress ,dress,"5' 1""",51,39.0,Dec 18 2019
587934,1920477,10,date,i loved this dress it is so beautiful yet very functional pockets this dress runs a bit small but oddly only in the arms i have very small arms but still had to go up a size to anthe quality of this dress is evident in person and the color is quite strikingi would rent this again ,dress,"5' 6""",16,35.0,Feb 26 2020
123871,1872602,10,wedding,this is a very feminine bright and fun dress for dancing all night at a weddingthe unique silhouette and vibrant colors made it stand outi was at a family wedding but got lots of compliments from strangersit was a little short in the front but the longer hem in the back made me feel justified wearing it to a church ceremony ,dress,"5' 4""",1,37.0,May 25 2021
841774,124553,8,party,the color is really pretty in person and definitely stands out in a crowd ,dress,"5' 9""",16,24.0,Oct 01 2020
185410,532135,10,party,i rented this dress for a winter white themed cocktail party and could not have been happier this dress fits true to size im between aand anand due to the neckline and sleeves went with theto fit my broad shoulders the dress is lined so no slip needed and the fabric is divine and so well structuredi highly recommend this dress for your event,dress,"5' 9""",16,26.0,Jan 29 2020
46663,187164,10,other,i loved this dress but couldnt wear the xs this herveruns a little small but i reordered it in a small ,dress,"5' 7""",4,29.0,Aug 29 2017
676918,123373,8,formal affair,dress fit true to sizei loved the design just wished the ruffles and pleats were higherthe extra fabric hung by my hips and butti got several compliments and i was very comfortable all night,gown,"5' 4""",20,30.0,Feb 14 2021
413575,145417,8,formal affair,rented this for a fundraising gala loved the thicker fabric felt warm in february imand the dress came just to my knees the color is more of a berryreally rich and the back is gorgeous i didnt wear a bra with it just petals and it worked well other reviews say its a stretchy dresstheres a bit of give but with the satin liner i wouldnt say its a stretchy dress its got a very slim fit that hugs your curvesthe medium was spot on for me the black liner does sometimes show from the bottom of the dress ,dress,"5' 9""",14,39.0,Feb 21 2021
967642,1754708,10,wedding,the dress is super cute and comfortable loved the pattern wore to welcome dinner drinks event for the night before a wedding the fabric is heavier so if you are going to be out in the heat for a long period of time you will definitely be sweating my only comment is that the dress looked a little worn was pilling in multiple places making it look worn ,dress,"5' 1""",4,31.0,Jul 31 2022
778498,466311,10,other,it is a great dress and it made me feel greatit is fitted and white so you have to wear the correct underwear so it does not show through the dress wear it with neutral color panties and bra and that should do the trickit is simple but it makes a great statementit is a beautiful dress,dress,"5' 1""",8,39.0,Jun 20 2021
753998,174086,10,formal affair,i loved this dress and felt beautiful in it the only problem was that it looked a little worn out ,dress,"5' 0""",4,22.0,Mar 01 2019
330229,1433766,10,party,perfect for clubbing in vegasi wore thebut thefit as well wear with a nubra or no bra at all ,dress,"5' 1""",16,37.0,Mar 25 2019
747133,148089,10,wedding,i amand the dress hit me right at the knee the dress looks much shorter on the model in the photo so it really depends on your height the fit was perfect and i didnt even have to try on the second size option this dress is a little on the heavy side so i would not recommend it for a summer wedding the wedding i went to was in the fall so it was perfect to keep me a little warmer,dress,"5' 5""",1,25.0,Oct 26 2019
278331,263981,10,party,this fits true to size i am very petite on the top and have a butt so this was a flattering fit i could not wear a bra with this but that was not a problem for me the color was divinea vibrant lilac and it was a huge hit at the party it has small cutouts on the front waistline and a very open back with a unique back detailthat i loved the bottom as fitted at the hip and loose but tailored to the knee ,dress,"5' 4""",1,36.0,Jun 13 2021
657655,1882156,10,wedding,i rented this dress for a wedding this septemberi cannot tell you how many compliments i got on this dressi would have normally rented the regular size but it was sold out so i went for the longthe long was completely fine with the inch heels i worelike all the other reviews here i would say that fashion tape is your friend with this babyno need to wear a bra but i did use the fashion tape to make sure i wasnt falling out of it or flashing anyonecould not recommend this dress anymore along with the overall rtr processthis was my first time using the site and it was so wonderfully easy and fun go for it ladies,gown,"5' 7""",21,29.0,Oct 03 2021
786414,644425,8,party,i thought that the dress fit wonderfully however a little tight in the bust the small my normal size fit best in the bust however seemed to be a big loose everywhere else great dress for the party received many compliments on it,sheath,"5' 7""",4,29.0,May 23 2019
376466,331924,8,other,i ordered it but didnt wear it imand it was a little too short but it was a pretty dress ,dress,"5' 7""",14,31.0,Dec 19 2022
103103,721424,10,everyday,this dress is adorable it fits tight enough on the top to be cute and flares out in a way that is very flattering for an hourglass shape i found the neckline to be the perfect v neck depth as well my only complaint is that this dress is very thick i thought id be able to wear it in to spring with unlimited but i think its too warm for that would rent again,dress,"5' 8""",20,29.0,Mar 07 2021
270418,1424454,10,formal affair,fits true to size perfect length and just the right tightness material is thicker so it was perfect for the early spring type of weather ,dress,"5' 6""",8,22.0,May 04 2019
353288,125564,10,formal affair,the waist fit a little loose but with the ruching it was not noticeable and very comfortable,gown,"5' 7""",5,53.0,Sep 10 2020
667832,1213427,10,formal affair,great dress,gown,"5' 5""",16,31.0,Apr 27 2020
151751,686884,8,party, i loved the side slit and the black and white was eye catching i worn in vegas for a night out it was a little big on mylbs frame but it wasnt too badthe slit was sexy its a midi length on shorties like me but i was okay with that much shorter and that slit would have been unseemly,dress,"5' 2""",4,40.0,Feb 18 2021
360448,1063761,10,party,this hugged in all the right places it was a perfect dress for my event and i received so many compliments on it not to mention customer service was great getting this to me in less thanhours,sheath,"5' 4""",4,116.0,Dec 14 2020
957558,1674806,10,wedding,i rented both the xs and sm both fit almost identical i ended up wearing the xs because the hem on the sm was just not laying righti paired this dress with all rose gold accessories and received complements on how beautiful my dress wasthis dress was so comfortable elegant and did not make me hot at all with all the dancing i did,sheath,"5' 6""",4,35.0,Oct 09 2022
917736,763288,8,wedding,the dress was true to size but a little fitted around the hip area i went with the one size smaller because it accentuated the waistline better the fabric is gorgeous and the color is striking in person a must have for a wedding or similar event fabulous weddingflorals ,dress,"5' 7""",4,32.0,Jul 14 2019
648652,1390469,8,wedding,i wore this dress after my wedding reception to go down to the bars im usually aorbut ordered theandbased on other reviews i ended up wearing theimand the dress was midthigh so definitely on the short side its comfortable but pretty tight ie isnt very forgiving and shows every lump and bump overall it was a great choicecomfy cheap and looked super cute with cowboy boots,dress,"5' 5""",8,29.0,Oct 23 2021
311126,145906,10,formal affair,beautiful dressreceived multiple complimentsphotographs beautifullyruns long imand woreinch heels and i had to pick up my dress to walk all nightgranted as it drapes beautifully it looked nice even as i carried iti found it slipped on me and i spent a lot of time pulling up the dress,gown,"5' 7""",8,37.0,Oct 08 2018
918700,1303995,10,formal affair,the fit is very goodthe sleeve openings are a little low so i had to be careful in photo poses not to show too much weird armpit areai was also surprised how heavy it but that makes the flow of the dress spectacular,sheath,"5' 8""",45,44.0,Oct 30 2022
118182,301873,10,party,i wore a low back strapless bustier under the dressi kept the jewelry simple wearing only earringsyouhave to take short steps as the dress is narrow and comes down below the knee,sheath,"5' 4""",12,51.0,Mar 15 2020
379315,132135,10,formal affair,the dress is beautiful sexy and perfect for a black tie affairi had countless compliments all night i loved it so much i rented it twice in a few monthsi usually wear a sizebut i decided to have a more fitted look so i wore a sizeand it hugged every curve beautifullythefit well as well but i wanted a more fitted sexy look so i went with the smaller sizei wore a small waist corset underneath for some added curve and to smooth out my stomach,gown,"5' 7""",12,39.0,Dec 01 2020
871911,780380,6,other,wore this to my baby shower and received many compliments i did end up wearing a nude tank top underneath as pregnancy made my chest bigger than normal and as a non chesty prepregnant lady the amount of cleavage made me uncomfortable however this seems to be highly personal as all of my friends insisted i didnt need one as a sizing note when i wore this dress i was a large d maybe a bit bigger and about lbs,dress,"5' 9""",8,32.0,Sep 27 2022
816183,1539576,10,work,i got a lot of complimentsthis is stunning onthe sleeves and the hemline are fun and flirty yet classy,dress,"5' 2""",1,52.0,Nov 02 2022
317930,420498,10,wedding,i was not expecting too much from this dress but was pleasantly surprisedi probably could have worn the xs but the s seemed better suited for a family weddingthe lace was very soft and stretchyvery comfortable to wear but still flattering on the waist and hipsthe neckline is cut low enough to give some appeal but definitely not over the topthe bra strap snaps were an added bonus so i could wear a regular bra without worrying about the straps slipping downi received a number of complimentswould definitely recommend,sheath,"5' 9""",8,37.0,Mar 17 2021
928561,1459539,8,other,fits very snug but cute and still modest,dress,"5' 3""",12,33.0,Sep 21 2022
286612,1441700,8,wedding,received this dress in my back up size of w because the dress i originally ordered adriana papel sip and see sheath was not available even tho my original dress fit in the sizei went with this one because i loved it so much it was a bit largedefinitely could have gone with thein this modelbut as part of the wedding i attended required us to sit on the floor i decided the larger size might be a bit more comfortable anyway it also ran a bit long on me but thats typical as im onlyi got tons of compliments on how flattering the color was i would definitely recommend this im already considering ordering it in a size down for a future event ,sheath,"5' 3""",51,38.0,Jul 22 2021
717534,977833,10,formal affair,the buttons are the worst on this dressmake sure you have someone to help you get dressed because you will not be able to put it on aloneonce it is on the dress fits amazinglyi was hesitant on wearing this dress at first because i thought it was too plain but all night i received compliments on how great the dress looked,gown,"5' 6""",20,46.0,Dec 10 2022
856006,883661,6,wedding,i didnt end up wearing this dress it was super cute but did not fit me the right waysi felt like it might have been a bit inappropriate for the wedding i rented it for the v in the front was low enough that with a bra i had great cleavage not grandparentappropriate but without a bra the dress was too big on the top maybe for a different kind of formal event where there are less family members also the color is really bright if i rent this dress again id probably try out the blue,dress,"5' 5""",8,29.0,Aug 24 2021
37518,1738690,10,wedding,this dress is gorgeous i wore it to a formal southern wedding and got a ton of compliments very ladylike you should know that the fabric has texture and a beautiful sheen to it keep in mind that there is no stretch so you might want to size up for dancing purposes fit like a glove ,dress,"5' 5""",1,34.0,Aug 09 2019
256444,182915,10,date,great for curves without too much cleavage and not too short so completely sexy while leaving a reasonable amount to the imagination such a great dress so many compliments and neck snaps ,dress,"5' 2""",16,34.0,Apr 15 2018
581386,226529,10,formal affair,the dress was a great weight and quality so it hung well and was very flattering on my generally curvy body it is long so i needed to wear pretty high heels imbut it wasnt impossible i would recommend for a classic flattering look ,gown,"5' 4""",16,31.0,Sep 27 2022
387413,537285,10,other,classy comfy gorgeous and fun to twirl around dance inyou cant tell from the photos but the dress is connected with nude mesh at the midsectionimand the xsr was the perfect length withinch heels,dress,"5' 4""",4,29.0,Mar 30 2021
419195,1295171,10,party,this dress was the real star of the partybeautiful silhouette color and shinei usually wear sizes but this dress is running a bit small i wasnt able to zip it up completely so i had to resort to my backup dress which ran in m overall it fit great however the deep plunge was a bit tricky since i dont have a full bust wearing a regular bra didnt seem like the best idea but a silicon bust enhancer helped what is really great about this dress is that it was successfully able to cover my apple tummy im a skinny apple though so most of the clothes can do that no spanx needed ,sheath,"5' 9""",14,30.0,Dec 22 2021
752823,1090219,10,work,i think this has been my favorite dress from rtr so fari love shoshanna and this dress was perfect for work but could easily have been worn out to drinks afterlace details was beautiful and the fit was great,dress,"5' 6""",4,34.0,Sep 26 2021
910752,1669625,10,formal affair,dress runs small and is tight in the rib cage area the wide skirt is very flattering the pockets are awesome and very deep you can put a phone notes lipstick etc and no one will notice the boatneck is very flattering as well received many compliments the element i disliked was the back zipper it was obviously replaced and not as nice of quality compared to the back up size dress not a deal breaker though ,dress,"5' 4""",8,39.0,Mar 22 2022
806378,883916,10,party,great dress only downside was the zipper it was also a little warm for the evening out in the summer,sheath,"5' 3""",48,29.0,Aug 28 2021
355916,1142056,10,party,i am typically aandwas perfectwould have been too big i would either get your normal size or one size down ,dress,"5' 8""",12,27.0,Jun 27 2022
271029,140877,10,wedding,i thought this dress was tailored for meive never had a dress fit so wellit was heavier than i expected but was very comfortablei danced all night long with no problem,gown,"5' 8""",2,33.0,Feb 25 2019
348640,131533,10,date,i had originally ordered another badgley mischka dress and it ended up not fitting properly but thanks to rtrs fantastic customer service they had this dress to me by noon the next daythis is such a fun flattering dress and i didnt want to take it offthe color is even more outstanding in person compliments all night longi wore the long with approxin heels and it still reached the floorpaired it with the ella carter ashley necklace and it looked wonderful,gown,"5' 6""",25,29.0,Jan 12 2020
492205,208647,8,wedding,i rented this dress for my mom she loved it she ordered aand athewas very tight on her but thewas too large in the bust area her only complaint was that the fabric did not have much give to it however it was a big hit at the wedding and everyone loved it the dress is a bit on the long side so unless youre a younger person going for a more conservative look i would suggest leaving this for the more mature fashionistas ,dress,"5' 6""",24,25.0,Sep 30 2020
128063,861707,8,wedding,this dress was absolutely beautiful on the hanger and on me unfortunately it was a little bit small im hopeful to rent again in a size or two bigger ,gown,"5' 6""",8,29.0,Jul 13 2022
6319,153475,8,wedding,this dress runs large size down size down size down typically ain dresses but always worried about length i felt comfortable ordering this as a bridesmaids dress in which i knew i would be wearinginch heels this puts me overfeet this dress was the perfect length with the heels without it was a mess and too long which is a luxury that i never have thewould have worked but thefit like a glove and i knew i could move comfortably without worrying about dancing and the bridal party photos my dress needed a really good steaming after i received it before i could wear it ,gown,"5' 9""",5,35.0,Oct 02 2018
494661,1426525,6,wedding,the color on this dress is absolutely beautiful in addition the fabric is a lot thicker than anticipated which made it look lovely on the hanger the straps are too long which made the top sit funny in addition while it fit true to size it didnt look nice on i ordered this through unlimited so had the luxury of putting in the bag and picking something else,dress,"5' 1""",8,31.0,Jun 06 2022
965639,291513,8,wedding,great lbd loved all my photos in itstars because i wish it was a little tighter in the bust the straps fell to the sides on me a few times i am not small chested but also not big i am a b c therefore i should be the perfect fit for it i went braless fabric is thick enough to hide everything for the most part there is no stretch in the dress so this could be a little risky,dress,"5' 6""",16,27.0,Nov 21 2022
665404,1927996,8,everyday,"it had a really loose fit that was comfortable but the midsection bunches around the waist giving you a heftier silhouette than ideal otherwise under a leather jacket and over slim jeans it was the perfect dress tunic to run around in had a beautiful ethereal quality to it but not so precious that you cant do everything you need to do to get through the day i wore it to work then to the car shop grocery store and then to a playdate with my girls it surprisingly survived everything fabric doesnt snag and given all the intricate detailsthis was impressive
",dress,"5' 7""",8,40.0,Jul 07 2022
99452,155735,4,formal affair,"the dress was a little loose
normally waer aand thewas still a little big",dress,"5' 5""",8,33.0,Dec 18 2019
748181,203856,10,wedding,the fit was impeccable i ordered a r and r and thefit which made my day obviously hard to find shoes that matched its glamour honestly but thats the only con ,gown,"5' 4""",1,27.0,Feb 28 2021
821863,168610,8,party,probably could have gone a size up the dress is really tight in the bust area tookpeople to zip it ,gown,"5' 5""",24,24.0,May 03 2020
77433,1694131,6,wedding,i ordered abut probably should have worn ai wore spanks and it didnt seem to helpi looked pregnant in a few photos because it was rather tight in my midsectionthis dress shows way more cleavage than the pictures indicateit was a bit much for a family weddingthe dress was beautifully detailed,sheath,"5' 3""",24,35.0,Jan 13 2022
942489,1159412,10,wedding,loved this dress i wore it to an outdoor wedding in august it was absolutely perfect for the occasion and i received so many compliments the material is thicker but i wasnt too hot in the dress it is such a fun cute dress and i felt so stylish in it i might have to rent this one again i loved it so much,dress,"5' 5""",1,27.0,Aug 08 2021
538528,672419,10,wedding,i ended up wearing a different option from rent the runway since this dress was a little too formal for the wedding i was attendinghowever i absolutely loved this dressit is elegant and uniqueit is form fitting but the best part is that the material has a little stretch so it conforms to your body for an exact fitthe material is high quality and the beading detail is intricatei highly recommend this dress for a black tie event,gown,"5' 2""",15,36.0,Nov 07 2022
547743,193361,8,other,the dress fellinches above my kneethe material was thick but very comfortable the dress was a bit baggy on my petite framebut worked well enoughi saw a girl with more curves wearing the dress and i thought it looked better on heri wore it to work with a cardigan and black tights and received many complimentsit transitioned well to an evening cocktail party,dress,"5' 0""",1,33.0,Oct 25 2017
249024,153475,10,wedding,i amand i wanted the l based on reviews but it was already rented i went with the l for the ceremony and felt kind of blahthe dress was too big and didnt compliment my figure at all i switched to the r for the reception and am so happy i did it was formfitting but still incredibly tasteful and flattering i woreinch heels and was overall happy with the length i do think the l would have been the perfect size forand above id recommending having a backup in r or l whatever you dont select initially if youre close to this height as it could go either way ,gown,"5' 8""",1,31.0,Oct 16 2021
290472,138431,8,formal affair,i amand did not wear heels and the dress fell perfectly to the ground with the r if i had worn heels i wouldve needed to go with the l the fit around my waist was perfect and this dress was extremely flattering and comfortable i would definitely encourage wearing a necklace with this dress as it looked too plain without one the fabric was beautiful and felt light but expensive i gave this dress four stars instead of five because there was a stain at the bottom of it overall i was very happy with the dress it was modest but very beautiful the cut around the shoulders flattered my arms and my waist looked tiny i could move in it and felt comfortable sitting and standing and did not have to wear a bra it was the perfect dress for this occasion,gown,"5' 8""",16,28.0,Dec 15 2019
18490,174086,10,wedding,i rented this as a back up dress for a weddingi ended up wearing the other dress and chose to wear this while out and about in san antonio the next dayi loved this dressit is true to size the right length great quality and it gave me the appearance of having cleavagei imagine the top would run small for those with larger bustsoverall an awesome dressi would rent this again in a heartbeat,dress,"5' 0""",4,37.0,May 07 2019
421511,1110985,10,work,great fit ,gown,"5' 5""",4,37.0,Sep 11 2022
34597,1728434,8,other,if you have the slightest bit of back fat and you don’t want it to show go up a size the dress is not forgiving back there it’s also snug in the arms but it was a great fit in the bust and butt i am a slim but curvy woman and the dress highlighted that very well the color is perfect and the material is definitely high quality it’s a good piece that i would rent again,dress,"5' 6""",4,37.0,Feb 06 2022
986926,1261393,10,vacation,comfortable and so cute that it transitions perfectly from day to an evening of pub crawling in new orleans,dress,"5' 7""",20,50.0,Jan 22 2021
985768,921642,8,other,the dress fit great overallit was a little loose in the chest but you couldnt tell it was a great length for tall heights it hit me about mid calf i would highly recommend for any shape,dress,"5' 10""",20,30.0,May 03 2022
836577,1695279,6,wedding,i ordered the sizewith the sizeas a backupthe sizehad all broken clasps so i couldnt wear it even though that is the size that fitthe sizefit ok but was frumpythe bottom of the dress is a tad big and long for awomani am a d cup and the lace up top was still a little loose on methe dress was beautiful though and i received lots of compliments perfect for a conservative wedding,sheath,"5' 3""",12,37.0,Dec 04 2020
307137,1842923,10,wedding,good if you want to show off you arms and shoulders,dress,"5' 2""",20,29.0,Aug 24 2019
654358,1064359,8,party,runs large too loose i have a large bustdd and it was still loose beautiful dress kind of vintage feel berry color very comfortable ,dress,"5' 4""",45,31.0,Jul 28 2019
654620,450618,10,formal affair,the dresses arrived just as stated i was impressed by the shipping bag that they arrived in the dresses were on hangers and in bags the sizefit perfectly this was worn by my daughter for her homecoming freshman in high school it was just the right pick she isand it hit her right at the knee,dress,"5' 0""",4,40.0,Oct 30 2021
507121,409531,10,date,this dress fit me perfectly i did not have to wear a tank underneath i got so many compliments from strangers it does run generously but the tie cinches it in fine i cant get enough wear out of it ,dress,"5' 4""",20,48.0,Jun 21 2022
783947,982621,10,wedding,petite size hieght worked well for mystature i woreinch heel and it did the trick,gown,"5' 2""",7,30.0,Aug 17 2020
734848,364092,8,date,didnt actually wear it it fit perfectly the fabric is a little thicker so higher quality felt a bit too conservative for my taste i rented it for the color and loved the berry shade of red,dress,"5' 8""",8,45.0,Apr 30 2021
7186,883661,10,wedding,loved the fabric it was a great material and the perfect red i usually wear asometimes anand i wore theit was a little small around my arms but fit my waist and bust perfectly thewas too big on my top half ,dress,"5' 4""",4,26.0,Jul 13 2021
552088,1286229,10,party,loved this dress for my vegas bachelorette partyperfect white dress to wear out with a little sparkle without being too short or form fittingthe dress doesnt have much give so i sized up just to be comfortable which was perfecti received tons of compliments all nighti would highly recommend this dress,dress,"6' 0""",20,32.0,Jun 14 2021
10659,139086,8,formal affair,this is a beautiful dress i got tons of compliments all night the dress had a lovely weight and im glad i ordered the long imbut wearheels so the long was a must the dress was a little snug in the chest and didnt really do much for a larger chest the dress was a beautiful colorvery classic red ,gown,"5' 4""",5,34.0,Feb 23 2019
364968,555308,10,wedding,form fitting as usually but still able to move and dance ,dress,"5' 6""",12,31.0,Dec 06 2022
145839,187984,8,party,loved it wore it to a baby shower,dress,"5' 8""",4,30.0,Sep 25 2022
349655,820244,10,work,weirdly slate and willow this second dress in sizefits me although in everything else im aand the other dress in my order was a cynthia rowley that would have fit me in sizeim lbsdd andwaistthe v dip is supported by strong wire so the dress doesnt do any weird wrinkling or buckling i rented it to wear to a nice work event and thought it would look ok wa jacket over it but that v part is really too low for the office so now planning to wear it on a date,dress,"5' 7""",8,39.0,Jun 20 2022
104922,168610,10,formal affair,this gown is very simple to don and to disrobe its very fitted in the bodice to avoid zipper battles i sized up lesson learned from previous badgley mischka gowns the chiffon flowed with my movements despite being floor length im still receiving compliments in a sea of basic black gowns be prepared to stand outbeautifully,gown,"5' 9""",25,51.0,Nov 19 2019
303706,143094,8,date,i wore this dress for nye this last year which also happens to be my birthdayit was everything i expectedvery shiny and sparkly so much so that everyone was making fun of how much i stuck outi rocked it with a fur shrug and tights since it was freezing outside but i thought it looked greatmy only complaint was that this dress was really shorti had to be very careful when i sat down in it because i am really tall,dress,"5' 9""",8,33.0,Jan 18 2018
106515,131533,10,wedding,when i first tried this dress on my husband looked at me and said that dress does everything for your body that you could hope for from a dress it was very comfortable and accentuated my curves without clinging or looking too baggy fit great in the bust and was the perfect length to wear with low heels the only issue was the zipper which had a hard time making it over the gathering at the waist ,gown,"5' 8""",20,31.0,Sep 07 2022
609369,452942,10,formal affair,this dress was comfortable and gorgeous the only con you cant wear a bra but with the fit you dont need one,dress,"5' 6""",12,37.0,Jul 10 2022
685246,301159,10,party,i wore this to my holiday party and it was perfect i got so many compliments the dress was fitted but not too tight it flattered all of the right places i amlbs d and self conscious about my tummy bulge and i felt very confident in this dress ,dress,"5' 6""",14,25.0,Dec 19 2022
219194,1146287,10,wedding,the bust was a little too big on me but i fixed it with cleavage cupcake inserts the length was perfect for theheels i had in mind aside from the bust it wore like it was tailored for me loved this dress,gown,"5' 4""",4,33.0,Sep 25 2022
481238,1714731,8,formal affair,i normally wear a sizebut was advised to order the long lengths because i intended to wear heels so i ordered the l and the l ended up with a pretty short heels and so both dresses were way too long this was a fairly easy fix with fashion tape to hem it just wish i would have stayed true to size and not ordered the longs the dress itself is stunning and you wont regret this rental,gown,"5' 5""",13,,Aug 28 2021
332273,1090064,10,wedding,loved the pockets,dress,"5' 4""",12,29.0,Jul 09 2020
331029,1247578,8,wedding,this dress definitely fits like other clover canyon dresses ive worn with that thick material i really liked the slightly longer length on this one especially being more low cut it made it perfect for an october wedding i will say it felt a little tight for the formal church ceremony but was perfect for the reception both the small and medium fit but the small was more flattering ,sheath,"5' 3""",8,32.0,Oct 28 2020
344452,938882,4,everyday,boxy and weird oversized in shoulders even though i have broad shoulders and tight in chest not great for woman with curves ,dress,,24,30.0,Dec 05 2022
562172,1878529,8,wedding,but it runs large especially the waist,dress,"5' 9""",4,26.0,Oct 05 2022
2805,1676837,10,party,"this dress is really beautiful the pictures dont do it justice i didnt realize it was neoprene which made the skirt full and perfectly standing
i got so many compliments on the dress even men were asking where they could buy this dress for their girlfriends
worn with green ysl tributes it was the perfect pairing
",dress,"5' 8""",12,37.0,Apr 06 2020
969421,182915,6,wedding,had to do a bit of tugging on the hemline and the right sleeve was a bit tighter than the left but overall a nice dressgreat bright color and i really liked the neckline front and back,dress,"5' 8""",8,30.0,Jun 09 2019
598462,693185,10,other,the only drawback was that i couldnt wear a regular strapless bra with the side cutouts ,sheath,"6' 0""",16,33.0,Sep 29 2021
344988,916397,10,work,lovely dressthe color and cut make this a real stand outits perfect for a business elegant event except that its a little more form fitting than it appears in the photosit doesnt have any stretch and its not really a sheath as shownrather its curve hugging in the extremealthough thefit true to size i decided it was a little too close for comfort for a professional eventim planning to rent again and size up for my next event with the hope that it will be more professional appropriate,dress,"6' 0""",16,40.0,Mar 01 2021
131872,1049694,10,wedding,i got this dress instore after my original dress didnt fitthe store was a nightmare and i never got to try the dress on so luckily it fitthis dress was super cute but a little short especially wtih my heelsi am onlyso for the taller girls i would probably not wear this unless you are looking for a short short dresssadly the pics posted are the only two taken of the full dress of the nightso not great quality,sheath,"5' 2""",4,38.0,Oct 31 2021
966061,309634,10,formal affair,this dress runs true to size but it is possible to size down because the material is stretchy the material is lighter than expected but holds shape well especially in the skirt the pattern is not actually embroidered and does not show up as bright as it does on the model loved the pattern and comfortable fit this dress is perfect for a semiformal event or party and gets lots of compliments ,dress,"5' 8""",14,23.0,May 06 2022
